elapsed_s,time_since_start_ms,timestamp_local,accelerometer_x_mps2,accelerometer_y_mps2,accelerometer_z_mps2,gravity_x_mps2,gravity_y_mps2,gravity_z_mps2,gyroscope_x_radps,gyroscope_y_radps,gyroscope_z_radps,magnetic_field_x_ut,magnetic_field_y_ut,magnetic_field_z_ut,orientation_azimuth_deg,orientation_pitch_deg,orientation_roll_deg,gnss_available
320.099,323021,2019-09-08 10:13:09.645,0.1109,0.6684,9.7299,-0.0038,0.0018,9.8065,-0.0142,0.0057,0.0098,-5.06,-27.87,25.63,22.57,-78.6,-151.56,False
320.2,323122,2019-09-08 10:13:09.746,0.24,-0.1754,9.8468,-0.0043,-0.0095,9.8066,0.0303,-0.0142,0.0299,-4.75,-27.25,25.13,22.57,-78.63,-151.13,False
320.299,323221,2019-09-08 10:13:09.845,0.5595,0.1726,10.2012,-0.008,-0.0109,9.8066,-0.0429,-0.0257,0.0585,-4.87,-27.87,25.56,23.72,-78.55,-150.68,False
320.4,323322,2019-09-08 10:13:09.946,0.1882,0.7040000000000001,10.5767,-0.0062,0.0095,9.8066,0.0103,0.0156,0.022,-5.06,-28.25,24.63,24.1,-78.45,-150.2,False
320.499,323421,2019-09-08 10:13:10.045,-0.0464,-0.6148,9.8608,-0.0095,-0.0231,9.8066,-0.0969,0.017,-0.0061,-5.37,-28.94,24.25,24.1,-78.25,-150.24,False
320.599,323521,2019-09-08 10:13:10.145,0.2574,1.1817,9.7949,-0.0112,0.0106,9.8066,-0.0493,0.017,0.0083,-6.25,-29.94,24.5,22.6,-78.23,-149.6,False
320.699,323621,2019-09-08 10:13:10.245,0.1175,1.1007,9.728,-0.0139999999999999,0.0157,9.8065,0.0282,-0.0023,0.024,-6.37,-29.56,25.63,24.63,-78.26,-148.32,False
320.799,323721,2019-09-08 10:13:10.345,0.1819,1.4448,9.6458,-0.001,0.0096,9.8066,-0.0263,-0.0069999999999999,-0.0343,-6.06,-28.5,26.5,24.9,-78.22,-148.04,False
320.899,323821,2019-09-08 10:13:10.445,0.0836,0.1145,9.6022,-0.0063,0.0018,9.8066,-0.0752,-0.0259,-0.0061,-5.94,-27.81,26.63,25.3,-78.27,-147.7,False
320.999,323921,2019-09-08 10:13:10.545,0.2507,0.917,10.0101,-0.0054,0.0019,9.8066,-0.0019,-0.0197,-0.0188,-5.5,-27.87,25.69,28.21,-78.32,-147.23,False
321.1,324022,2019-09-08 10:13:10.646,-0.0543,0.606,10.2239,0.0047,-0.0015,9.8066,0.0363,0.0289999999999999,-0.0466,-5.19,-27.5,25.94,27.81,-78.34,-147.34,False
321.199,324121,2019-09-08 10:13:10.745,0.6482,-0.0418,9.6623,-0.003,0.0047,9.8066,-0.1015,-0.0315,0.015,-5.19,-27.56,25.56,28.07,-78.33,-147.34,False
321.299,324221,2019-09-08 10:13:10.845,0.1491,1.0581,10.1439,-0.0067,0.0262,9.8066,0.0441,0.0103,0.002,-5.25,-27.31,24.94,28.39,-78.38,-146.64,False
321.4,324322,2019-09-08 10:13:10.946,0.0459,0.5149,9.6414,-0.0011,-0.0101,9.8066,0.0517,-0.0045,0.0287,-5.5,-27.75,24.38,28.37,-78.37,-146.67,False
321.5,324422,2019-09-08 10:13:11.046,0.5867,0.5,9.35,0.0007,0.0049,9.8066,0.1048,-0.0352,0.0249,-5.69,-29.31,24.19,25.54,-78.36,-146.76,False
