elapsed_s,gnss_available
0.0,True
0.1,True
0.199,True
0.299,True
0.4,True
0.499,True
0.6,True
0.7,True
0.8,True
0.899,True
1.0,True
1.099,True
1.199,True
1.299,True
1.399,True
1.5,True
1.599,True
1.7,True
1.799,True
1.9,True
1.999,True
2.099,True
2.2,True
2.299,True
2.399,True
2.499,True
2.6,True
2.699,True
2.8,True
2.9,True
2.999,True
3.1,True
3.2,True
3.3,True
3.4,True
3.499,True
3.6,True
3.7,True
3.799,True
3.899,True
4.0,True
4.1,True
4.199,True
4.299,True
4.4,True
4.5,True
4.599,True
4.7,True
4.799,True
4.899,True
5.0,True
5.099,True
5.199,True
5.3,True
5.4,True
5.5,True
5.6,True
5.7,True
5.799,True
5.899,True
5.999,True
6.1,True
6.199,True
6.301,True
6.399,True
6.499,True
6.599,True
6.7,True
6.799,True
6.899,True
7.0,True
7.099,True
7.199,True
7.299,True
7.4,True
7.499,True
7.599,True
7.699,True
7.799,True
7.9,True
8.0,True
8.099,True
8.2,True
8.3,True
8.399,True
8.499,True
8.6,True
8.699,True
8.799,True
8.901,True
9.0,True
9.1,True
9.2,True
9.299,True
9.4,True
9.505,True
9.6,True
9.699,True
9.8,True
9.899,True
9.999,True
10.1,True
10.202,True
10.299,True
10.399,True
10.5,True
10.599,True
10.7,True
10.799,True
10.899,True
10.999,True
11.1,True
11.199,True
11.3,True
11.4,True
11.5,True
11.6,True
11.699,True
11.799,True
11.905,True
12.0,True
12.099,True
12.2,True
12.299,True
12.399,True
12.499,True
12.6,True
12.699,True
12.802,True
12.899,True
12.999,True
13.099,True
13.2,True
13.299,True
13.4,True
13.5,True
13.6,True
13.699,True
13.8,True
13.899,True
13.999,True
14.1,True
14.199,True
14.299,True
14.4,True
14.5,True
14.599,True
14.7,True
14.799,True
14.899,True
15.0,True
15.1,True
15.199,True
15.299,True
15.399,True
15.499,True
15.599,True
15.699,True
15.799,True
15.9,True
15.999,True
16.1,True
16.2,True
16.3,True
16.399,True
16.499,True
16.599,True
16.699,True
16.799,True
16.899,True
17.0,True
17.099,True
17.199,True
17.299,True
17.399,True
17.5,True
17.6,True
17.7,True
17.8,True
17.9,True
17.999,True
18.099,True
18.2,True
18.299,True
18.399,True
18.5,True
18.6,True
18.699,True
18.799,True
18.9,True
18.999,True
19.099,True
19.2,True
19.3,True
19.4,True
19.499,True
19.6,True
19.699,True
19.8,True
19.9,True
19.999,True
20.1,True
20.199,True
20.299,True
20.399,True
20.499,True
20.6,True
20.7,True
20.8,True
20.9,True
21.0,True
21.099,True
21.2,True
21.299,True
21.399,True
21.5,True
21.599,True
21.699,True
21.8,True
21.899,True
22.0,True
22.1,True
22.2,True
22.299,True
22.399,True
22.5,True
22.6,True
22.7,True
22.8,True
22.9,True
23.0,True
23.1,True
23.199,True
23.299,True
23.4,True
23.5,True
23.6,True
23.7,True
23.799,True
23.902,True
23.999,True
24.1,True
24.199,True
24.3,True
24.4,True
24.499,True
24.599,True
24.7,True
24.8,True
24.899,True
25.0,True
25.099,True
25.2,True
25.3,True
25.4,True
25.5,True
25.6,True
25.699,True
25.799,True
25.899,True
25.999,True
26.1,True
26.2,True
26.3,True
26.399,True
26.499,True
26.6,True
26.7,True
26.8,True
26.899,True
27.0,True
27.1,True
27.199,True
27.3,True
27.399,True
27.499,True
27.6,True
27.7,True
27.8,True
27.9,True
28.0,True
28.1,True
28.199,True
28.299,True
28.4,True
28.5,True
28.6,True
28.7,True
28.799,True
28.9,True
28.999,True
29.1,True
29.2,True
29.3,True
29.4,True
29.5,True
29.6,True
29.699,True
29.799,True
29.899,True
29.999,True
30.099,True
30.2,True
30.299,True
30.4,True
30.5,True
30.6,True
30.7,True
30.799,True
30.9,True
30.999,True
