elapsed_s,time_since_start_ms,timestamp_local,accelerometer_x_mps2,accelerometer_y_mps2,accelerometer_z_mps2,gravity_x_mps2,gravity_y_mps2,gravity_z_mps2,gyroscope_x_radps,gyroscope_y_radps,gyroscope_z_radps,magnetic_field_x_ut,magnetic_field_y_ut,magnetic_field_z_ut,orientation_azimuth_deg,orientation_pitch_deg,orientation_roll_deg,gnss_available
3495.0,3497922,2019-09-08 11:06:04.546,-0.9239,1.6344,9.6743,0.031,-0.036,9.8065,-0.2414,0.006,-0.1357,-26.81,-27.87,22.94,336.23,-77.35,-149.67,False
3495.099,3498021,2019-09-08 11:06:04.645,-0.7983,0.1267,9.3423,0.0245,-0.0145,9.8065,-0.1787,-0.1029,-0.0269,-26.12,-27.25,22.75,338.0,-77.45,-149.38,False
3495.199,3498121,2019-09-08 11:06:04.745,-1.0744,0.9502,9.1481,-0.0355,0.0192,9.8065,0.1451,-0.0558,-0.0217,-26.5,-27.62,23.19,338.37,-77.37,-148.91,False
3495.299,3498221,2019-09-08 11:06:04.845,-0.4639,-0.243,10.9235,-0.0395,0.0394,9.8064,0.1934,-0.091,0.0098,-26.37,-27.06,23.56,341.16,-77.61,-148.1,False
3495.399,3498321,2019-09-08 11:06:04.945,-1.1388,1.8937,10.4503,0.043,-0.0241,9.8065,-0.0984,-0.0208,0.0469,-26.06,-27.87,23.56,341.01,-77.74,-148.16,False
3495.5,3498422,2019-09-08 11:06:05.046,0.4154,-0.3442,9.3325,0.0411,-0.0201,9.8064,-0.2781,-0.0361,0.0906,-25.94,-27.37,22.63,337.67,-77.53,-149.68,False
3495.599,3498521,2019-09-08 11:06:05.145,0.7283,0.9174,9.268,-0.0382,0.0282,9.8065,0.1751,0.0357,-0.0619,-25.69,-27.44,23.44,338.48,-77.91,-149.15,False
3495.7,3498622,2019-09-08 11:06:05.246,-1.0986,1.0321,10.3862,-0.0212,0.0211,9.8065,0.0673,-0.0367,-0.0731,-25.56,-27.94,22.5,338.33,-77.92,-149.14,False
3495.8,3498722,2019-09-08 11:06:05.346,-1.0906,1.2401,9.3497,-0.0169,0.0041,9.8066,-0.0519,-0.0106,-0.0407,-25.69,-27.69,23.44,338.27,-77.94,-149.2,False
3495.9,3498822,2019-09-08 11:06:05.446,-0.8861,0.8435,9.5468,0.0075,-0.0095,9.8065,-0.0826,-0.073,-0.0144,-25.87,-27.75,23.06,338.17,-77.9,-149.26,False
3496.0,3498922,2019-09-08 11:06:05.546,0.1085,0.9764,9.7359,-0.0226,0.0212,9.8066,0.1443,-0.0372,0.0677,-25.87,-27.5,23.44,338.35,-77.82,-149.23,False
3496.099,3499021,2019-09-08 11:06:05.645,-0.2807,-0.8959,9.9288,-0.0242,0.0159,9.8065,0.2093,-0.051,0.1026,-25.69,-27.62,23.06,339.0,-77.9,-148.58,False
3496.199,3499121,2019-09-08 11:06:05.745,0.2004,-0.5539999999999999,9.7255,0.0086,-0.0207,9.8065,-0.0151,-0.0056,0.0943,-26.69,-27.5,23.0,337.86,-77.66,-148.58,False
