elapsed_s,time_since_start_ms,timestamp_local,accelerometer_x_mps2,accelerometer_y_mps2,accelerometer_z_mps2,gravity_x_mps2,gravity_y_mps2,gravity_z_mps2,gyroscope_x_radps,gyroscope_y_radps,gyroscope_z_radps,magnetic_field_x_ut,magnetic_field_y_ut,magnetic_field_z_ut,orientation_azimuth_deg,orientation_pitch_deg,orientation_roll_deg,gnss_available
4555.1,4558022,2019-09-08 11:23:44.646,0.8106,1.2836,9.8714,0.0012,0.0053,9.8066,0.0268,-0.0153,-0.0441,4.44,-32.37,16.44,62.09,-80.14,-149.58,False
4555.199,4558121,2019-09-08 11:23:44.745,0.7288,1.1229,10.2078,-0.0023,-0.0163,9.8065,-0.1452,0.0091,-0.0216,3.81,-31.94,16.63,59.45,-80.3,-149.73,False
4555.299,4558221,2019-09-08 11:23:44.845,1.659,1.8259,9.2293,-0.0006,-0.0163,9.8066,-0.1036,0.0487,-0.0313,4.06,-32.12,15.63,60.59,-80.44,-150.27,False
4555.4,4558322,2019-09-08 11:23:44.946,1.6351,1.5638,8.892999999999999,0.035,0.0213,9.8065,0.0578,-0.0021,-0.0247,4.81,-31.81,15.94,62.69,-80.53,-151.36,False
4555.5,4558422,2019-09-08 11:23:45.046,1.9939,2.2103,9.6329,0.0207,0.0217,9.8066,-0.0033,0.0614,-0.0873,4.63,-31.62,16.06,62.03,-80.74,-151.55,False
4555.6,4558522,2019-09-08 11:23:45.146,0.5188,1.8712,10.1624,-0.0098,-0.0117,9.8066,0.0825,-0.001,-0.0202,4.13,-31.5,16.19,56.93,-80.74,-152.27,False
4555.699,4558621,2019-09-08 11:23:45.245,1.5277,0.6828,10.0084,-0.0065,-0.0024,9.8066,0.0422,0.0785,-0.0703,4.25,-31.81,16.31,57.23,-80.63,-152.71,False
4555.8,4558722,2019-09-08 11:23:45.346,1.1493,1.5312,9.7854,-0.0074,-0.0079,9.8066,0.0234,0.0162,0.0025,4.5,-31.12,16.56,57.59,-80.7,-153.09,False
4555.899,4558821,2019-09-08 11:23:45.445,1.672,0.9932,9.7765,-0.0077,-0.0088,9.8066,0.0176,0.0651,-0.0257,4.63,-31.44,16.06,59.49,-80.8,-153.09,False
4555.999,4558921,2019-09-08 11:23:45.545,1.6033,1.6202,9.5964,0.0265,0.0214,9.8065,-0.0565,-0.008,-0.0213,4.69,-32.31,16.69,57.78,-80.89,-153.06,False
4556.1,4559022,2019-09-08 11:23:45.646,1.3832,1.7163,9.2572,0.0246,0.0125,9.8066,-0.0626,-0.0018,-0.0015,5.06,-31.94,16.25,58.58,-81.19,-153.66,False
4556.2,4559122,2019-09-08 11:23:45.746,1.6917,0.1739,9.4465,0.0055,-0.0198,9.8065,-0.017,0.0556,-0.0318,5.06,-31.62,16.25,57.69,-81.28,-154.24,False
4556.299,4559221,2019-09-08 11:23:45.845,1.7204,0.9426,10.2111,0.0045,-0.016,9.8065,0.0422,0.087,-0.0702,4.81,-31.87,16.5,53.94,-81.33,-155.58,False
4556.4,4559322,2019-09-08 11:23:45.946,1.9751,0.272,10.0989,0.0133,-0.0015,9.8066,-0.0675,0.1279,-0.0268,5.13,-30.62,15.69,53.07,-81.58,-157.17,False
4556.499,4559421,2019-09-08 11:23:46.045,2.4009,0.326,9.5625,0.0048,-0.0092,9.8066,-0.0787,0.1521,-0.0106,5.19,-30.94,16.44,52.42,-81.62,-157.64,False
4556.599,4559521,2019-09-08 11:23:46.145,1.9643,0.6072,9.6871,0.0023,0.0062,9.8066,0.0284,0.1776,-0.0094,4.88,-31.69,16.81,51.11,-81.7,-157.36,False
4556.699,4559621,2019-09-08 11:23:46.245,2.4468,0.6206,9.5863,0.0083,0.0175,9.8066,0.0273,0.2189,-0.0428,4.69,-30.94,18.0,48.96,-81.86,-157.11,False
4556.799,4559721,2019-09-08 11:23:46.345,2.5171,-0.0497,9.7004,0.0064,0.0062,9.8065,-0.0017,0.252,-0.0754,4.88,-32.0,18.31,49.14,-81.96,-157.16,False
4556.9,4559822,2019-09-08 11:23:46.446,2.9399,-0.259,9.6655,0.0123,0.005,9.8066,-0.0213,0.2577,-0.0443,4.06,-31.12,18.25,44.65,-82.18,-157.44,False
4557.0,4559922,2019-09-08 11:23:46.546,2.2348,-0.3804,9.8256,-0.0051,0.0107,9.8066,0.0718,0.2817,-0.013,4.19,-31.06,19.0,43.6,-82.25,-157.13,False
4557.099,4560021,2019-09-08 11:23:46.645,2.2815,0.1281,9.6516,0.0055,0.0104,9.8066,0.0401,0.3037,-0.0309,3.69,-31.06,19.0,44.5,-82.33,-156.28,False
4557.199,4560121,2019-09-08 11:23:46.745,2.7087,-0.5477,9.4777,0.0103,0.0003,9.8066,-0.032,0.3328,-0.0284,3.25,-30.44,19.81,39.59,-82.44,-156.35,False
4557.3,4560222,2019-09-08 11:23:46.846,2.2274,-0.037,9.5914,0.0041,0.0044,9.8065,-0.0755,0.3521,-0.0272,3.25,-30.25,20.69,38.32,-82.57,-156.57,False
4557.399,4560321,2019-09-08 11:23:46.945,2.3628,-0.0362,9.2323,0.0344,0.0242,9.8065,0.1016,0.3758,-0.0863,3.06,-30.62,20.81,36.99,-82.97,-157.55,False
4557.499,4560421,2019-09-08 11:23:47.045,1.8016,-0.7149,9.5983,0.02,0.0314,9.8065,0.0746,0.3207,-0.0231,2.94,-30.12,22.13,34.89,-83.19,-158.33,False
4557.6,4560522,2019-09-08 11:23:47.146,1.8206,0.2553,9.7406,0.0218,0.0033,9.8065,-0.0443,0.405,-0.1122,2.75,-30.44,21.75,34.5,-83.39,-158.51,False
