elapsed_s,time_since_start_ms,timestamp_local,accelerometer_x_mps2,accelerometer_y_mps2,accelerometer_z_mps2,gravity_x_mps2,gravity_y_mps2,gravity_z_mps2,gyroscope_x_radps,gyroscope_y_radps,gyroscope_z_radps,magnetic_field_x_ut,magnetic_field_y_ut,magnetic_field_z_ut,orientation_azimuth_deg,orientation_pitch_deg,orientation_roll_deg,gnss_available
4850.1,4853022,2019-09-08 11:28:39.646,-0.1669999999999999,-0.1715,9.9248,-0.0028,-0.0043,9.8066,0.0111,-0.0356,0.0188,1.5,-31.81,12.06,52.49,-81.32,-155.77,False
4850.199,4853121,2019-09-08 11:28:39.745,-0.2287,-0.2257,9.7343,0.0005,0.0079,9.8066,0.0148,-0.0143,0.0114,1.69,-32.81,12.38,53.65,-81.3,-155.57,False
4850.3,4853222,2019-09-08 11:28:39.846,-0.1912,0.0207,9.7831,0.0035,0.0057,9.8066,0.0027,-0.0387,0.0076,1.69,-32.0,13.5,48.01,-81.32,-155.25,False
4850.399,4853321,2019-09-08 11:28:39.945,-0.4805,-0.2806,9.9202,-0.0024,-0.0018,9.8065,-0.0055,-0.035,0.0108,1.81,-32.06,12.0,53.47,-81.3,-155.11,False
4850.499,4853421,2019-09-08 11:28:40.045,-0.2046,-0.0874,9.8519,-0.0019,-0.0053,9.8065,-0.0291,-0.0563,-0.004,1.25,-32.0,12.38,47.25,-81.28,-155.17,False
4850.599,4853521,2019-09-08 11:28:40.145,-0.2577,-0.0239,9.8355,-0.0004,0.0035,9.8066,0.0139999999999999,-0.0426,0.0023,1.0,-32.44,12.31,47.2,-81.29,-155.18,False
4850.699,4853621,2019-09-08 11:28:40.245,-0.3379,-0.3478,9.7914,0.0018,0.0023,9.8066,-0.006,-0.067,0.004,0.94,-31.69,12.75,44.98,-81.29,-155.06,False
4850.799,4853721,2019-09-08 11:28:40.345,-0.3879999999999999,-0.3466,9.8789,-0.0022,-0.0003,9.8066,-0.0048,-0.0707,0.0172,1.38,-32.44,12.75,45.11,-81.28,-154.99,False
4850.9,4853822,2019-09-08 11:28:40.446,-0.5297,-0.4482,9.8523,0.0015,-0.002,9.8066,0.0002,-0.0863,0.0159,1.19,-32.56,10.81,51.38,-81.27,-155.06,False
4851.0,4853922,2019-09-08 11:28:40.546,-0.1331,-0.2019,9.7703,0.0015,0.0029,9.8066,0.0078,-0.1034,0.0256,3.06,-32.25,9.5,67.51,-81.26,-155.18,False
4851.099,4854021,2019-09-08 11:28:40.645,0.0304,0.0764,9.9059,0.0028,-0.0012,9.8066,0.0145,-0.1027,0.0049,2.69,-32.5,9.56,67.48,-81.26,-155.2,False
4851.2,4854122,2019-09-08 11:28:40.746,-0.0942,0.0589,9.8571,0.0002,-0.0033,9.8066,-0.012,-0.1023,0.0098,2.56,-32.81,9.0,74.18,-81.24,-155.43,False
4851.299,4854221,2019-09-08 11:28:40.845,-0.0015,0.2376,9.9808,-0.003,-0.0009,9.8066,-0.0196,-0.126,0.0089,2.25,-32.19,8.63,66.84,-81.23,-155.38,False
4851.399,4854321,2019-09-08 11:28:40.945,-0.201,-0.1049,9.9412,-0.0034,-0.0009,9.8066,-0.0069,-0.1228,0.0138,2.5,-32.44,9.13,73.13,-81.22,-155.36,False
4851.499,4854421,2019-09-08 11:28:41.045,-0.5076,-0.1932,9.9889,-0.0022,-0.0014,9.8066,-0.0013,-0.1226,0.0141,2.44,-33.19,9.06,68.29,-81.18,-155.47,False
4851.6,4854522,2019-09-08 11:28:41.146,-0.5888,-0.1783,9.9002,-0.0035,-0.0031,9.8066,-0.0105,-0.1365,0.0116,2.0,-33.12,8.69,68.35,-81.16,-155.5,False
4851.699,4854621,2019-09-08 11:28:41.245,-0.6092,-0.0186,9.8659,-0.0027,-0.0054,9.8066,-0.0117,-0.1512,0.0178,2.63,-32.81,8.44,81.45,-81.13,-155.78,False
4851.799,4854721,2019-09-08 11:28:41.345,-0.5482,0.0965,9.8617,-0.0024,0.0001,9.8066,-0.0055,-0.1491,0.0176,2.38,-33.5,7.81,75.84,-81.09,-155.79,False
4851.899,4854821,2019-09-08 11:28:41.445,-0.4464,-0.0671,9.8157,-0.0028,-0.0007,9.8066,0.0069999999999999,-0.1506,0.0168,2.81,-33.37,7.56,81.63,-81.07,-155.9,False
4851.999,4854921,2019-09-08 11:28:41.545,-0.6186,0.0906,10.1152,-0.0069,-0.0018,9.8066,-0.0345,-0.1841,0.0355,2.69,-33.12,7.25,90.26,-81.05,-155.95,False
