elapsed_s,time_since_start_ms,timestamp_local,accelerometer_x_mps2,accelerometer_y_mps2,accelerometer_z_mps2,gravity_x_mps2,gravity_y_mps2,gravity_z_mps2,gyroscope_x_radps,gyroscope_y_radps,gyroscope_z_radps,magnetic_field_x_ut,magnetic_field_y_ut,magnetic_field_z_ut,orientation_azimuth_deg,orientation_pitch_deg,orientation_roll_deg,gnss_available
4215.0,4217922,2019-09-08 11:18:04.546,-0.5732,-3.4883,10.4905,-0.0414,0.1076,9.8059,0.5586,-0.3112,0.1626,-16.12,-29.94,29.25,22.98,-79.4,-132.22,False
4215.099,4218021,2019-09-08 11:18:04.645,2.4747,-0.2354,9.5719,-0.0207,-0.0136,9.8066,0.1133,0.1547,-0.0535,-16.31,-29.19,29.25,25.41,-79.57,-129.98,False
4215.2,4218122,2019-09-08 11:18:04.746,-7.5312,2.4541,12.2623,-0.0387,-0.0706,9.8062,0.1022,0.2329,-0.3698,-15.94,-28.25,29.0,26.96,-79.55,-128.54,False
4215.299,4218221,2019-09-08 11:18:04.845,4.531000000000001,-1.7377,9.8341,-0.0009,-0.0178,9.8066,0.324,0.0946,-0.2189999999999999,-16.25,-28.94,28.63,27.9,-79.21,-128.05,False
4215.4,4218322,2019-09-08 11:18:04.946,3.2012,-3.1955,10.3931,0.0379,-0.0449,9.8064,-0.5434,0.0641,-0.0713,-16.62,-29.25,28.69,23.77,-78.88,-130.11,False
4215.5,4218422,2019-09-08 11:18:05.046,2.6153,0.7352,9.5657,0.0585,-0.039,9.8064,-0.421,-0.2179,0.1719,-17.06,-28.87,29.19,23.17,-78.97,-130.57,False
4215.599,4218521,2019-09-08 11:18:05.145,0.1976,-0.4503,9.3659,-0.0268,0.0522,9.8064,0.3038,-0.0627,0.0919,-16.25,-28.81,29.13,25.48,-78.97,-130.19,False
4215.699,4218621,2019-09-08 11:18:05.245,1.3963,0.2038,9.9319,-0.0379,0.045,9.8064,0.2325,0.0977,-0.093,-16.5,-28.69,29.25,26.36,-79.0,-129.45,False
4215.799,4218721,2019-09-08 11:18:05.345,-1.1287,0.7826,12.1688,-0.0314,0.044,9.8064,-0.2669,0.0275,-0.133,-16.87,-28.25,28.63,26.89,-79.19,-127.21,False
4215.9,4218822,2019-09-08 11:18:05.446,1.5148,2.3148,8.7343,0.0586,-0.1658,9.805,-0.4115,0.1486,-0.1826,-16.75,-28.31,28.38,26.82,-79.33,-126.42,False
4216.0,4218922,2019-09-08 11:18:05.546,1.4897,-0.3242,10.4525,0.0362,-0.0722,9.8062,0.3211,0.0139999999999999,-0.0152,-17.44,-29.69,28.38,23.75,-78.95,-129.44,False
4216.1,4219022,2019-09-08 11:18:05.646,-0.1123,0.4455,9.4474,-0.0397,0.0893,9.8061,0.3986,-0.0087,0.0372,-16.75,-28.81,28.81,21.75,-78.65,-131.87,False
4216.199,4219121,2019-09-08 11:18:05.745,-0.51,-0.2424,10.533,-0.0271,0.0619,9.8063,0.335,-0.1049,0.0778,-16.69,-28.87,29.19,23.95,-79.03,-129.89,False
4216.3,4219222,2019-09-08 11:18:05.846,0.361,1.1369,11.1753,0.0234,-0.0631,9.8063,-0.332,-0.0464,-0.0272,-16.31,-29.5,29.69,25.0,-78.77,-131.39,False
4216.4,4219322,2019-09-08 11:18:05.946,0.8524,2.4075,9.7641,0.0327,-0.0484,9.8064,-0.2565,0.0523,-0.035,-16.94,-29.19,29.5,23.32,-78.81,-131.26,False
4216.5,4219422,2019-09-08 11:18:06.046,0.5842,-0.1585,10.487,0.0008,-0.0005,9.8066,0.1245,0.0174,0.1193,-16.69,-28.62,29.13,21.97,-78.91,-131.59,False
4216.6,4219522,2019-09-08 11:18:06.146,1.2458,1.9178,11.507,-0.018,-0.0104,9.8066,0.4189,-0.1164,0.1337,-16.94,-28.37,28.81,22.04,-78.91,-131.41,False
4216.7,4219622,2019-09-08 11:18:06.246,0.5598,2.3716,11.1174,0.0415,-0.1085,9.8059,-0.346,0.103,-0.1455,-16.5,-28.75,29.25,24.67,-79.04,-130.84,False
4216.8,4219722,2019-09-08 11:18:06.346,-0.2764,2.6424,8.917,0.0478,-0.0581,9.8063,-0.287,-0.0538,-0.0038,-17.0,-29.31,28.94,19.06,-78.84,-134.03,False
4216.9,4219822,2019-09-08 11:18:06.446,1.7325,0.4271,9.7526,0.0092,0.0299,9.8065,0.1071,-0.0426,-0.0149,-16.62,-29.62,29.13,19.79,-79.03,-133.47,False
4216.999,4219921,2019-09-08 11:18:06.545,0.8976,-0.2555,10.4144,-0.0062,0.0029,9.8065,0.2572,-0.0262,0.0796,-16.25,-28.75,29.5,22.15,-79.01,-133.67,False
4217.099,4220021,2019-09-08 11:18:06.645,-0.8866,-1.6588,11.5668,0.0158,-0.0813,9.8062,-0.3775,0.1763,-0.0677,-16.31,-29.12,29.44,21.34,-78.93,-133.66,False
