epoch,training_loss,validation_loss
1,4.342996418869501,7.030905246734619
2,3.1958352723366152,6.788216590881348
3,2.9267526481897623,6.722508907318115
4,2.8198016365079996,6.739341735839844
5,2.722425989338863,6.623591899871826
6,2.6602444424002196,6.603466510772705
7,2.586966517855621,6.586304187774658
8,2.5501686377984494,6.426288604736328
9,2.502113965385193,6.436953544616699
10,2.4892456134093113,6.411485195159912
11,2.4483795013498746,6.398378372192383
12,2.420805277568593,6.427004814147949
13,2.386184830656712,6.505494594573975
14,2.374327270688896,6.362428188323975
15,2.348328286489066,6.5271220207214355
16,2.3189755306568296,6.448069095611572
17,2.3019282766598135,6.456212997436523
18,2.290903576418195,6.621588706970215
